Fase,V1,V2,w1,w2
0.1516,-68.22,216.48,0.5,0.5
0.1826,-67.24,237.55,1,1
0.7261,116.9,-200.04,1,1
0.7574,116.91,-208.79,1,1
0.0984,-51.23,165.41,1,1
0.1299,-57.31,197.76,1,1
0.1632,-64.92,235.53,1,1
0.1951,-71.21,243.67,1,1
0.2289,-76.24,261.48,1,1
0.311,-59.35,252.8,1,1
0.3205,-68.02,241.21,1,1
0.352,-65.15,211.27,1,1
0.3871,-52.54,177.6,1,1
0.619,85.47,-146.98,1,1
0.6529,101.68,-170.47,1,1
0.6845,112.07,-187.34,1,1
0.7178,120.16,-202.43,1,1
0.7493,118.68,-204.83,1,1
0.7823,118.17,-204.39,1,1
0.8139,106.39,-188.97,1,1
0.8478,104.11,-171.56,1,1
0.8793,103.46,-137.95,1,1
0.9129,84.91,-109.54,1,1
0.6868,107.72,-201.8,1,1
0.7177,115.18,-206.92,1,1
0.751,121.12,-210.81,1,1
0.782,121.34,-208.37,1,1
0.8153,117.19,-188.77,1,1
0.8466,104.65,-188.77,1,1
0.8808,88.92,-141.1,1,1
0.1016,-43.62,160.97,1,1
0.137,-54.17,200.97,1,1
0.1688,-67.14,227.49,1,1
0.2027,-76.86,247.71,1,1
0.2398,-85.21,261.6,1,1
0.2748,-77.28,254.43,1,1
0.3061,-84.88,251.76,1,1
0.34,-70.75,234.78,1,1
0.2205,-81.93,264.86,1,1
0.2524,-85.99,262.86,1,1
0.2871,-78.14,253.44,1,1
0.3219,-69.85,244.37,1,1
